計算対象,日付,内容,金額（円）,保有金融機関,大項目,中項目,メモ,振替,ID
0,2023/05/23,店舗A,-1110,楽天カード,日用品,日用品,フィルター 阿良々木割勘 1:1,0,H-r2SPC7L9uXGWxQypQSau
0,2023/05/22,店舗B,-319,三井住友カード,食費,食料品,阿良々木割勘 1:1,0,jHRCYb6dyC_fTirawJ_yNB
0,2023/05/21,AMAZON.CO.JP,-9778,三井住友カード,特別な支出,家具・家電,棚　阿良々木割勘 2:1,0,ifGxgCxsuFrc77YkXbgMHH
1,2023/05/16,入 JW東福寺 出 JW京都,-570,モバイルSuica (My JR-EAST ID),交通費,電車,,0,ndnfTeTtYg8SKwWXBY7JFF
1,2023/05/16,物販,-120,モバイルSuica (My JR-EAST ID),食費,外食,,0,ix54g7jcVLhnGSBgtTh-NU
1,2023/05/16,精 JW京都,-40,モバイルSuica (My JR-EAST ID),交通費,電車,,0,-GS_GEkDJrUMmmRz5wtdTS
1,2023/05/16,物販,-350,モバイルSuica (My JR-EAST ID),食費,外食,,0,bANGH5wKaG3jCj8XfBhxEt
1,2023/05/16,物販,-100,モバイルSuica (My JR-EAST ID),食費,外食,,0,6CcnXuZCQ5TerjTHUDXBHz
1,2023/04/25,給与,10000,住信SBIネット銀行,収入,給与,,0,fuFfNdSEQ9YeHRu7R2H-Vc
1,2023/04/25,キャッシュバック,1000,なし,収入,給与,阿良々木割勘 1:1,0,sNU_di23jE7-aVB4TnzzYU
